title,poster_url,genres
Avatar,movie_posters/Avatar.jpg,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
Pirates of the Caribbean: At World's End,movie_posters/Pirates of the Caribbean: At World's End.jpg,"['Action', 'Adventure', 'Fantasy']"
Spectre,movie_posters/Spectre.jpg,"['Action', 'Adventure', 'Thriller']"
The Dark Knight Rises,movie_posters/The Dark Knight Rises.jpg,"['Action', 'Drama', 'Thriller']"
Star Wars: Episode VII - The Force Awakens,movie_posters/Star Wars: Episode VII - The Force Awakens.jpg,"['Documentary', 'Short']"
John Carter,movie_posters/John Carter.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Spider-Man 3,movie_posters/Spider-Man 3.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Tangled,movie_posters/Tangled.jpg,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']"
Avengers: Age of Ultron,movie_posters/Avengers: Age of Ultron.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Harry Potter and the Half-Blood Prince,movie_posters/Harry Potter and the Half-Blood Prince.jpg,"['Action', 'Adventure', 'Family', 'Fantasy', 'Mystery']"
Batman v Superman: Dawn of Justice,movie_posters/Batman v Superman: Dawn of Justice.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Superman Returns,movie_posters/Superman Returns.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Quantum of Solace,movie_posters/Quantum of Solace.jpg,"['Action', 'Adventure', 'Mystery', 'Thriller']"
Pirates of the Caribbean: Dead Man's Chest,movie_posters/Pirates of the Caribbean: Dead Man's Chest.jpg,"['Action', 'Adventure', 'Fantasy']"
The Lone Ranger,movie_posters/The Lone Ranger.jpg,"['Action', 'Adventure', 'Drama', 'Western']"
Man of Steel,movie_posters/Man of Steel.jpg,"['Action', 'Adventure', 'Sci-Fi']"
The Chronicles of Narnia: Prince Caspian,movie_posters/The Chronicles of Narnia: Prince Caspian.jpg,"['Action', 'Adventure', 'Family', 'Fantasy']"
The Avengers,movie_posters/The Avengers.jpg,"['Action', 'Sci-Fi']"
Pirates of the Caribbean: On Stranger Tides,movie_posters/Pirates of the Caribbean: On Stranger Tides.jpg,"['Action', 'Adventure', 'Fantasy']"
Men in Black³,movie_posters/Men in Black³.jpg,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']"
The Hobbit: The Battle of the Five Armies,movie_posters/The Hobbit: The Battle of the Five Armies.jpg,"['Adventure', 'Fantasy']"
The Amazing Spider-Man,movie_posters/The Amazing Spider-Man.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Robin Hood,movie_posters/Robin Hood.jpg,"['Action', 'Adventure', 'Drama', 'History']"
The Hobbit: The Desolation of Smaug,movie_posters/The Hobbit: The Desolation of Smaug.jpg,"['Adventure', 'Drama', 'Fantasy']"
The Golden Compass,movie_posters/The Golden Compass.jpg,"['Adventure', 'Family', 'Fantasy']"
King Kong,movie_posters/King Kong.jpg,"['Action', 'Adventure', 'Romance']"
Titanic,movie_posters/Titanic.jpg,"['Drama', 'Romance']"
Captain America: Civil War,movie_posters/Captain America: Civil War.jpg,"['Action', 'Sci-Fi']"
Battleship,movie_posters/Battleship.jpg,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Jurassic World,movie_posters/Jurassic World.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Skyfall,movie_posters/Skyfall.jpg,"['Action', 'Adventure', 'Thriller']"
Spider-Man 2,movie_posters/Spider-Man 2.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Iron Man 3,movie_posters/Iron Man 3.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Alice in Wonderland,movie_posters/Alice in Wonderland.jpg,"['Adventure', 'Family', 'Fantasy', 'Mystery']"
X-Men: The Last Stand,movie_posters/X-Men: The Last Stand.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Monsters University,movie_posters/Monsters University.jpg,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
Transformers: Revenge of the Fallen,movie_posters/Transformers: Revenge of the Fallen.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Transformers: Age of Extinction,movie_posters/Transformers: Age of Extinction.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Oz the Great and Powerful,movie_posters/Oz the Great and Powerful.jpg,"['Adventure', 'Family', 'Fantasy']"
The Amazing Spider-Man 2,movie_posters/The Amazing Spider-Man 2.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Tron: Legacy,movie_posters/Tron: Legacy.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Cars 2,movie_posters/Cars 2.jpg,"['Animation', 'Adventure', 'Comedy', 'Crime', 'Family', 'Sport']"
Green Lantern,movie_posters/Green Lantern.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Toy Story 3,movie_posters/Toy Story 3.jpg,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
Terminator Salvation,movie_posters/Terminator Salvation.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Furious 7,movie_posters/Furious 7.jpg,"['Action', 'Crime', 'Thriller']"
World War Z,movie_posters/World War Z.jpg,"['Action', 'Adventure', 'Horror', 'Sci-Fi']"
X-Men: Days of Future Past,movie_posters/X-Men: Days of Future Past.jpg,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Star Trek Into Darkness,movie_posters/Star Trek Into Darkness.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Jack the Giant Slayer,movie_posters/Jack the Giant Slayer.jpg,"['Action', 'Adventure', 'Fantasy']"
The Great Gatsby,movie_posters/The Great Gatsby.jpg,"['Drama', 'Romance']"
Prince of Persia: The Sands of Time,movie_posters/Prince of Persia: The Sands of Time.jpg,"['Action', 'Adventure', 'Fantasy']"
Pacific Rim,movie_posters/Pacific Rim.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Transformers: Dark of the Moon,movie_posters/Transformers: Dark of the Moon.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Indiana Jones and the Kingdom of the Crystal Skull,movie_posters/Indiana Jones and the Kingdom of the Crystal Skull.jpg,"['Action', 'Adventure']"
The Good Dinosaur,movie_posters/The Good Dinosaur.jpg,"['Animation', 'Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']"
Brave,movie_posters/Brave.jpg,"['Animation', 'Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Mystery']"
Star Trek Beyond,movie_posters/Star Trek Beyond.jpg,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
WALL·E,movie_posters/WALL·E.jpg,"['Animation', 'Adventure', 'Family', 'Sci-Fi']"
Rush Hour 3,movie_posters/Rush Hour 3.jpg,"['Action', 'Comedy', 'Crime', 'Thriller']"
2012,movie_posters/2012.jpg,"['Action', 'Adventure', 'Sci-Fi']"
A Christmas Carol,movie_posters/A Christmas Carol.jpg,"['Animation', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']"
Jupiter Ascending,movie_posters/Jupiter Ascending.jpg,"['Action', 'Adventure', 'Sci-Fi']"
The Legend of Tarzan,movie_posters/The Legend of Tarzan.jpg,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance']"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","movie_posters/The Chronicles of Narnia: The Lion, the Witch and the Wardrobe.jpg","['Adventure', 'Family', 'Fantasy']"
X-Men: Apocalypse,movie_posters/X-Men: Apocalypse.jpg,"['Action', 'Adventure', 'Sci-Fi']"
The Dark Knight,movie_posters/The Dark Knight.jpg,"['Action', 'Crime', 'Drama', 'Thriller']"
Up,movie_posters/Up.jpg,"['Animation', 'Adventure', 'Comedy', 'Drama', 'Family']"
Monsters vs. Aliens,movie_posters/Monsters vs. Aliens.jpg,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']"
Iron Man,movie_posters/Iron Man.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Hugo,movie_posters/Hugo.jpg,"['Adventure', 'Drama', 'Family', 'Fantasy', 'Mystery']"
Wild Wild West,movie_posters/Wild Wild West.jpg,"['Action', 'Comedy', 'Sci-Fi', 'Western']"
The Mummy: Tomb of the Dragon Emperor,movie_posters/The Mummy: Tomb of the Dragon Emperor.jpg,"['Action', 'Adventure', 'Fantasy', 'Horror']"
Suicide Squad,movie_posters/Suicide Squad.jpg,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
Evan Almighty,movie_posters/Evan Almighty.jpg,"['Comedy', 'Family', 'Fantasy']"
Edge of Tomorrow,movie_posters/Edge of Tomorrow.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Waterworld,movie_posters/Waterworld.jpg,"['Action', 'Adventure', 'Sci-Fi']"
G.I. Joe: The Rise of Cobra,movie_posters/G.I. Joe: The Rise of Cobra.jpg,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Inside Out,movie_posters/Inside Out.jpg,"['Animation', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']"
The Jungle Book,movie_posters/The Jungle Book.jpg,"['Animation', 'Action', 'Adventure', 'Drama', 'Family', 'Fantasy', 'Musical']"
Iron Man 2,movie_posters/Iron Man 2.jpg,"['Action', 'Sci-Fi']"
Snow White and the Huntsman,movie_posters/Snow White and the Huntsman.jpg,"['Action', 'Adventure', 'Biography', 'Drama', 'Fantasy', 'Romance', 'Sci-Fi', 'Thriller', 'War']"
Maleficent,movie_posters/Maleficent.jpg,"['Action', 'Adventure', 'Drama', 'Family', 'Fantasy', 'Romance']"
Dawn of the Planet of the Apes,movie_posters/Dawn of the Planet of the Apes.jpg,"['Action', 'Adventure', 'Drama', 'Sci-Fi', 'Thriller']"
The Lovers,movie_posters/The Lovers.jpg,"['Action', 'Adventure', 'Romance', 'Sci-Fi']"
47 Ronin,movie_posters/47 Ronin.jpg,"['Action', 'Drama', 'Fantasy']"
Captain America: The Winter Soldier,movie_posters/Captain America: The Winter Soldier.jpg,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Shrek Forever After,movie_posters/Shrek Forever After.jpg,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Romance']"
Tomorrowland,movie_posters/Tomorrowland.jpg,"['Action', 'Adventure', 'Family', 'Fantasy', 'Mystery', 'Sci-Fi']"
Big Hero 6,movie_posters/Big Hero 6.jpg,"['Animation', 'Action', 'Adventure', 'Comedy', 'Crime', 'Family', 'Sci-Fi']"
Wreck-It Ralph,movie_posters/Wreck-It Ralph.jpg,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi', 'Sport']"
The Polar Express,movie_posters/The Polar Express.jpg,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']"
Independence Day: Resurgence,movie_posters/Independence Day: Resurgence.jpg,"['Action', 'Adventure', 'Sci-Fi']"
