title,poster_url,genres
Avatar,Avatar.jpg,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
Pirates of the Caribbean: At World's End,Pirates of the Caribbean: At World's End.jpg,"['Action', 'Adventure', 'Fantasy']"
Spectre,Spectre.jpg,"['Action', 'Adventure', 'Thriller']"
The Dark Knight Rises,The Dark Knight Rises.jpg,"['Action', 'Drama', 'Thriller']"
Star Wars: Episode VII - The Force Awakens,Star Wars: Episode VII - The Force Awakens.jpg,"['Documentary', 'Short']"
John Carter,John Carter.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Spider-Man 3,Spider-Man 3.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Tangled,Tangled.jpg,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']"
Avengers: Age of Ultron,Avengers: Age of Ultron.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Harry Potter and the Half-Blood Prince,Harry Potter and the Half-Blood Prince.jpg,"['Action', 'Adventure', 'Family', 'Fantasy', 'Mystery']"
Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Superman Returns,Superman Returns.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Quantum of Solace,Quantum of Solace.jpg,"['Action', 'Adventure', 'Mystery', 'Thriller']"
Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: Dead Man's Chest.jpg,"['Action', 'Adventure', 'Fantasy']"
The Lone Ranger,The Lone Ranger.jpg,"['Action', 'Adventure', 'Drama', 'Western']"
Man of Steel,Man of Steel.jpg,"['Action', 'Adventure', 'Sci-Fi']"
The Chronicles of Narnia: Prince Caspian,The Chronicles of Narnia: Prince Caspian.jpg,"['Action', 'Adventure', 'Family', 'Fantasy']"
The Avengers,The Avengers.jpg,"['Action', 'Sci-Fi']"
Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides.jpg,"['Action', 'Adventure', 'Fantasy']"
Men in Black³,Men in Black³.jpg,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']"
The Hobbit: The Battle of the Five Armies,The Hobbit: The Battle of the Five Armies.jpg,"['Adventure', 'Fantasy']"
The Amazing Spider-Man,The Amazing Spider-Man.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Robin Hood,Robin Hood.jpg,"['Action', 'Adventure', 'Drama', 'History']"
The Hobbit: The Desolation of Smaug,The Hobbit: The Desolation of Smaug.jpg,"['Adventure', 'Drama', 'Fantasy']"
The Golden Compass,The Golden Compass.jpg,"['Adventure', 'Family', 'Fantasy']"
King Kong,King Kong.jpg,"['Action', 'Adventure', 'Romance']"
Titanic,Titanic.jpg,"['Drama', 'Romance']"
Captain America: Civil War,Captain America: Civil War.jpg,"['Action', 'Sci-Fi']"
Battleship,Battleship.jpg,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Jurassic World,Jurassic World.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Skyfall,Skyfall.jpg,"['Action', 'Adventure', 'Thriller']"
Spider-Man 2,Spider-Man 2.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Iron Man 3,Iron Man 3.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Alice in Wonderland,Alice in Wonderland.jpg,"['Adventure', 'Family', 'Fantasy', 'Mystery']"
X-Men: The Last Stand,X-Men: The Last Stand.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Monsters University,Monsters University.jpg,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
Transformers: Revenge of the Fallen,Transformers: Revenge of the Fallen.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Transformers: Age of Extinction,Transformers: Age of Extinction.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Oz the Great and Powerful,Oz the Great and Powerful.jpg,"['Adventure', 'Family', 'Fantasy']"
The Amazing Spider-Man 2,The Amazing Spider-Man 2.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Tron: Legacy,Tron: Legacy.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Cars 2,Cars 2.jpg,"['Animation', 'Adventure', 'Comedy', 'Crime', 'Family', 'Sport']"
Green Lantern,Green Lantern.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Toy Story 3,Toy Story 3.jpg,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
Terminator Salvation,Terminator Salvation.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Furious 7,Furious 7.jpg,"['Action', 'Crime', 'Thriller']"
World War Z,World War Z.jpg,"['Action', 'Adventure', 'Horror', 'Sci-Fi']"
X-Men: Days of Future Past,X-Men: Days of Future Past.jpg,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Star Trek Into Darkness,Star Trek Into Darkness.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Jack the Giant Slayer,Jack the Giant Slayer.jpg,"['Action', 'Adventure', 'Fantasy']"
The Great Gatsby,The Great Gatsby.jpg,"['Drama', 'Romance']"
Prince of Persia: The Sands of Time,Prince of Persia: The Sands of Time.jpg,"['Action', 'Adventure', 'Fantasy']"
Pacific Rim,Pacific Rim.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Transformers: Dark of the Moon,Transformers: Dark of the Moon.jpg,"['Action', 'Adventure', 'Sci-Fi']"
Indiana Jones and the Kingdom of the Crystal Skull,Indiana Jones and the Kingdom of the Crystal Skull.jpg,"['Action', 'Adventure']"
The Good Dinosaur,The Good Dinosaur.jpg,"['Animation', 'Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']"
Brave,Brave.jpg,"['Animation', 'Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Mystery']"
Star Trek Beyond,Star Trek Beyond.jpg,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
WALL·E,WALL·E.jpg,"['Animation', 'Adventure', 'Family', 'Sci-Fi']"
Rush Hour 3,Rush Hour 3.jpg,"['Action', 'Comedy', 'Crime', 'Thriller']"
2012,2012.jpg,"['Action', 'Adventure', 'Sci-Fi']"
A Christmas Carol,A Christmas Carol.jpg,"['Animation', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']"
Jupiter Ascending,Jupiter Ascending.jpg,"['Action', 'Adventure', 'Sci-Fi']"
The Legend of Tarzan,The Legend of Tarzan.jpg,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance']"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe.jpg","['Adventure', 'Family', 'Fantasy']"
X-Men: Apocalypse,X-Men: Apocalypse.jpg,"['Action', 'Adventure', 'Sci-Fi']"
The Dark Knight,The Dark Knight.jpg,"['Action', 'Crime', 'Drama', 'Thriller']"
